id,PV output,PeriodStart,hours
745,0,28-11-2018,1
746,0,28-11-2018,2
747,0,28-11-2018,3
748,0,28-11-2018,4
755,1516.319444,28-11-2018,11
750,0,28-11-2018,6
751,0,28-11-2018,7
752,0,28-11-2018,8
753,822.9861111,28-11-2018,9
749,0,28-11-2018,5
781,872.3861111,29-11-2018,13
782,775.4361111,29-11-2018,14
783,139.0666667,29-11-2018,15
784,0,29-11-2018,16
785,0,29-11-2018,17
787,0,29-11-2018,19
788,0,29-11-2018,20
789,0,29-11-2018,21
790,0,29-11-2018,22
780,1366.316667,29-11-2018,12
786,0,29-11-2018,18
791,0,29-11-2018,23
779,1350.075,29-11-2018,11
777,414.2944444,29-11-2018,9
778,934.9583333,29-11-2018,10
768,0,29-11-2018,0
769,0,29-11-2018,1
771,0,29-11-2018,3
770,0,29-11-2018,2
773,0,29-11-2018,5
774,0,29-11-2018,6
775,0,29-11-2018,7
776,51.45277778,29-11-2018,8
772,0,29-11-2018,4
815,0,30-11-2018,23
814,0,30-11-2018,22
813,0,30-11-2018,21
812,0,30-11-2018,20
811,0,30-11-2018,19
810,0,30-11-2018,18
809,0,30-11-2018,17
808,0,30-11-2018,16
807,0,30-11-2018,15
806,477.775,30-11-2018,14
805,815.8305556,30-11-2018,13
804,1083.016667,30-11-2018,12
802,1112.441667,30-11-2018,10
792,0,30-11-2018,0
793,0,30-11-2018,1
794,0,30-11-2018,2
795,0,30-11-2018,3
796,0,30-11-2018,4
803,1269.383333,30-11-2018,11
798,0,30-11-2018,6
799,0,30-11-2018,7
800,0.416666667,30-11-2018,8
801,400.7611111,30-11-2018,9
797,0,30-11-2018,5
830,1150.566667,01-12-2018,14
831,491.35,01-12-2018,15
832,0,01-12-2018,16
833,0,01-12-2018,17
834,0,01-12-2018,18
836,0,01-12-2018,20
837,0,01-12-2018,21
838,0,01-12-2018,22
839,0,01-12-2018,23
829,2287.166667,01-12-2018,13
835,0,01-12-2018,19
828,2452.661111,01-12-2018,12
827,1972.1,01-12-2018,11
826,1135.877778,01-12-2018,10
817,0,01-12-2018,1
818,0,01-12-2018,2
819,0,01-12-2018,3
820,0,01-12-2018,4
816,0,01-12-2018,0
822,0,01-12-2018,6
823,0,01-12-2018,7
824,0,01-12-2018,8
825,0,01-12-2018,9
821,0,01-12-2018,5
853,208.4638889,02-12-2018,13
862,0,02-12-2018,22
861,0,02-12-2018,21
860,0,02-12-2018,20
859,0,02-12-2018,19
858,0,02-12-2018,18
857,0,02-12-2018,17
856,0,02-12-2018,16
855,0,02-12-2018,15
854,238.5111111,02-12-2018,14
852,181.025,02-12-2018,12
863,0,02-12-2018,23
850,23.19444444,02-12-2018,10
840,0,02-12-2018,0
841,0,02-12-2018,1
842,0,02-12-2018,2
843,0,02-12-2018,3
844,0,02-12-2018,4
851,282.3083333,02-12-2018,11
846,0,02-12-2018,6
847,0,02-12-2018,7
848,0,02-12-2018,8
849,0,02-12-2018,9
845,0,02-12-2018,5
877,606.6027778,03-12-2018,13
886,0,03-12-2018,22
885,0,03-12-2018,21
884,0,03-12-2018,20
883,0,03-12-2018,19
882,0,03-12-2018,18
881,0,03-12-2018,17
880,0,03-12-2018,16
879,0,03-12-2018,15
878,74.86111111,03-12-2018,14
876,784.6083333,03-12-2018,12
887,0,03-12-2018,23
874,643.1972222,03-12-2018,10
864,0,03-12-2018,0
865,0,03-12-2018,1
866,0,03-12-2018,2
867,0,03-12-2018,3
868,0,03-12-2018,4
875,686.1833333,03-12-2018,11
870,0,03-12-2018,6
871,0,03-12-2018,7
872,0,03-12-2018,8
873,48.68333333,03-12-2018,9
869,0,03-12-2018,5
901,1552.488889,04-12-2018,13
902,918.3777778,04-12-2018,14
903,319.5777778,04-12-2018,15
904,0,04-12-2018,16
905,0,04-12-2018,17
907,0,04-12-2018,19
908,0,04-12-2018,20
909,0,04-12-2018,21
910,0,04-12-2018,22
900,1842.05571,04-12-2018,12
906,0,04-12-2018,18
911,0,04-12-2018,23
899,888.075,04-12-2018,11
897,674.2305556,04-12-2018,9
896,0,04-12-2018,8
895,0,04-12-2018,7
894,0,04-12-2018,6
893,0,04-12-2018,5
892,0,04-12-2018,4
891,0,04-12-2018,3
890,0,04-12-2018,2
889,0,04-12-2018,1
888,0,04-12-2018,0
898,886.5416667,04-12-2018,10
926,1231.375,05-12-2018,14
927,460.7444444,05-12-2018,15
928,0,05-12-2018,16
929,0,05-12-2018,17
925,1254.011111,05-12-2018,13
931,0,05-12-2018,19
932,0,05-12-2018,20
933,0,05-12-2018,21
934,0,05-12-2018,22
930,0,05-12-2018,18
924,1753.027778,05-12-2018,12
935,0,05-12-2018,23
922,1102.188889,05-12-2018,10
912,0,05-12-2018,0
913,0,05-12-2018,1
914,0,05-12-2018,2
915,0,05-12-2018,3
916,0,05-12-2018,4
923,1816.711111,05-12-2018,11
918,0,05-12-2018,6
919,0,05-12-2018,7
920,0,05-12-2018,8
921,322.5472222,05-12-2018,9
917,0,05-12-2018,5
958,0,06-12-2018,22
957,0,06-12-2018,21
956,0,06-12-2018,20
955,0,06-12-2018,19
954,0,06-12-2018,18
953,0,06-12-2018,17
952,0,06-12-2018,16
951,566.6277778,06-12-2018,15
950,1331.977778,06-12-2018,14
949,2410.347222,06-12-2018,13
948,2271.644444,06-12-2018,12
959,0,06-12-2018,23
946,840.6444444,06-12-2018,10
936,0,06-12-2018,0
937,0,06-12-2018,1
938,0,06-12-2018,2
939,0,06-12-2018,3
940,0,06-12-2018,4
947,1439.936111,06-12-2018,11
942,0,06-12-2018,6
943,0,06-12-2018,7
944,0,06-12-2018,8
945,290.5527778,06-12-2018,9
941,0,06-12-2018,5
973,1570.325,07-12-2018,13
974,1303.902778,07-12-2018,14
975,377.3583333,07-12-2018,15
976,0,07-12-2018,16
977,0,07-12-2018,17
979,0,07-12-2018,19
980,0,07-12-2018,20
981,0,07-12-2018,21
982,0,07-12-2018,22
972,2093.311111,07-12-2018,12
978,0,07-12-2018,18
983,0,07-12-2018,23
971,1724.672222,07-12-2018,11
969,367.3194444,07-12-2018,9
970,1384.986111,07-12-2018,10
960,0,07-12-2018,0
961,0,07-12-2018,1
962,0,07-12-2018,2
963,0,07-12-2018,3
965,0,07-12-2018,5
966,0,07-12-2018,6
967,0,07-12-2018,7
968,0,07-12-2018,8
964,0,07-12-2018,4
1007,0,08-12-2018,23
